student_id,application_id,app_term_id,app_complete_dt,decision,decision_dt,deposit_flag
10000090,APP10000090,2024FA,2024-05-14,Admit,2024-06-09,0
10000091,APP10000091,2025SP,2024-06-28,Admit,2024-07-15,1
10000092,APP10000092,2025SP,2024-03-16,Admit,2024-04-01,1
10000093,APP10000093,2024FA,2024-03-11,Admit,2024-04-07,0
10000094,APP10000094,2024FA,2024-01-26,Admit,2024-02-18,1
10000095,APP10000095,2024FA,2024-07-01,Admit,2024-07-21,1
10000096,APP10000096,2024FA,2024-06-25,Admit,2024-07-07,1
10000097,APP10000097,2025SP,2024-02-18,Admit,2024-02-28,1
10000098,APP10000098,2025SP,2024-06-07,Admit,2024-06-13,1
10000099,APP10000099,2024FA,2024-02-27,Admit,2024-03-12,0
10000100,APP10000100,2024FA,2024-02-07,Admit,2024-03-06,1
10000101,APP10000101,2025SP,2024-07-19,Admit,2024-07-24,1
10000102,APP10000102,2024FA,2024-03-22,Admit,2024-04-21,1
10000103,APP10000103,2025SP,2024-01-16,Admit,2024-01-27,1
10000104,APP10000104,2025SP,2024-02-12,Admit,2024-02-18,1
10000105,APP10000105,2025SP,2024-04-15,Admit,2024-05-04,0
10000106,APP10000106,2025SP,2024-07-16,Admit,2024-07-21,0
10000107,APP10000107,2025SP,2024-02-10,Admit,2024-03-09,1
10000108,APP10000108,2025SP,2024-07-08,Admit,2024-07-27,1
10000109,APP10000109,2024FA,2024-03-05,Admit,2024-03-10,1
10000110,APP10000110,2024FA,2024-07-03,Admit,2024-07-23,0
10000111,APP10000111,2024FA,2024-06-21,Admit,2024-07-06,1
10000112,APP10000112,2025SP,2024-04-21,Admit,2024-05-01,1
10000113,APP10000113,2025SP,2024-01-02,Admit,2024-01-24,1
10000114,APP10000114,2024FA,2024-05-14,Admit,2024-05-24,1
10000115,APP10000115,2024FA,2024-03-30,Admit,2024-04-28,1
10000116,APP10000116,2024FA,2024-07-04,Admit,2024-07-24,1
10000117,APP10000117,2024FA,2024-01-01,Admit,2024-01-15,1
10000118,APP10000118,2025SP,2024-01-31,Admit,2024-02-26,0
10000119,APP10000119,2024FA,2024-04-30,Admit,2024-05-12,1
10000120,APP10000120,2025SP,2024-03-29,Admit,2024-04-28,1
10000121,APP10000121,2024FA,2024-02-23,Admit,2024-03-09,1
10000122,APP10000122,2024FA,2024-03-10,Admit,2024-03-29,1
10000123,APP10000123,2024FA,2024-04-10,Admit,2024-04-16,1
10000124,APP10000124,2025SP,2024-05-30,Admit,2024-06-10,1
10000125,APP10000125,2024FA,2024-02-01,Admit,2024-02-15,1
10000126,APP10000126,2024FA,2024-06-13,Admit,2024-07-10,1
10000127,APP10000127,2025SP,2024-04-20,Admit,2024-05-03,0
10000128,APP10000128,2025SP,2024-05-14,Admit,2024-05-29,1
10000129,APP10000129,2025SP,2024-07-17,Admit,2024-07-23,1
10000130,APP10000130,2025SP,2024-02-14,Admit,2024-02-26,1
10000131,APP10000131,2024FA,2024-06-20,Admit,2024-06-28,1
10000132,APP10000132,2025SP,2024-06-13,Admit,2024-06-28,1
10000133,APP10000133,2024FA,2024-01-23,Admit,2024-02-07,1
10000134,APP10000134,2025SP,2024-05-13,Admit,2024-05-20,1
10000135,APP10000135,2024FA,2024-05-19,Admit,2024-05-24,1
10000136,APP10000136,2024FA,2024-03-10,Admit,2024-03-24,1
10000137,APP10000137,2024FA,2024-01-19,Admit,2024-02-02,0
10000138,APP10000138,2025SP,2024-06-20,Admit,2024-06-25,1
10000139,APP10000139,2025SP,2024-03-28,Admit,2024-04-10,1
10000140,APP10000140,2024FA,2024-05-31,Admit,2024-06-28,1
10000141,APP10000141,2025SP,2024-02-02,Admit,2024-02-20,1
10000142,APP10000142,2024FA,2024-05-14,Admit,2024-05-30,1
10000143,APP10000143,2025SP,2024-07-04,Admit,2024-07-29,1
10000144,APP10000144,2024FA,2024-02-02,Admit,2024-02-09,1
10000145,APP10000145,2025SP,2024-05-03,Admit,2024-06-02,1
10000146,APP10000146,2025SP,2024-06-04,Admit,2024-06-12,0
10000147,APP10000147,2024FA,2024-01-05,Admit,2024-01-10,1
10000148,APP10000148,2025SP,2024-01-18,Admit,2024-01-23,1
10000149,APP10000149,2024FA,2024-04-26,Admit,2024-05-17,1
10000150,APP10000150,2025SP,2024-02-02,Admit,2024-02-12,1
10000151,APP10000151,2024FA,2024-01-30,Admit,2024-02-16,1
10000152,APP10000152,2024FA,2024-02-22,Admit,2024-02-27,0
10000153,APP10000153,2025SP,2024-04-26,Admit,2024-05-01,1
10000154,APP10000154,2025SP,2024-01-02,Admit,2024-02-01,1
10000155,APP10000155,2024FA,2024-02-29,Admit,2024-03-22,1
10000156,APP10000156,2024FA,2024-06-25,Admit,2024-07-12,1
10000157,APP10000157,2024FA,2024-03-11,Admit,2024-04-05,1
10000158,APP10000158,2025SP,2024-04-23,Admit,2024-05-02,1
10000159,APP10000159,2025SP,2024-04-02,Admit,2024-04-30,0
10000160,APP10000160,2025SP,2024-02-18,Admit,2024-03-02,1
10000161,APP10000161,2024FA,2024-01-11,Admit,2024-02-09,0
10000162,APP10000162,2025SP,2024-05-29,Admit,2024-06-03,1
10000163,APP10000163,2025SP,2024-06-02,Admit,2024-06-12,0
10000164,APP10000164,2025SP,2024-01-13,Admit,2024-02-10,1
10000165,APP10000165,2025SP,2024-01-02,Admit,2024-01-17,1
10000166,APP10000166,2025SP,2024-05-04,Admit,2024-05-24,1
10000167,APP10000167,2025SP,2024-02-07,Admit,2024-03-02,1
10000168,APP10000168,2025SP,2024-04-26,Admit,2024-05-06,0
10000169,APP10000169,2024FA,2024-06-28,Admit,2024-07-04,0
10000170,APP10000170,2024FA,2024-01-27,Admit,2024-02-04,1
10000171,APP10000171,2025SP,2024-03-20,Admit,2024-04-06,1
10000172,APP10000172,2025SP,2024-06-25,Admit,2024-07-14,1
10000173,APP10000173,2025SP,2024-03-15,Admit,2024-04-07,1
10000174,APP10000174,2024FA,2024-05-24,Admit,2024-06-22,1
10000175,APP10000175,2024FA,2024-01-28,Admit,2024-02-16,1
10000176,APP10000176,2024FA,2024-03-01,Admit,2024-03-30,1
10000177,APP10000177,2025SP,2024-06-29,Admit,2024-07-26,1
10000178,APP10000178,2025SP,2024-05-18,Admit,2024-05-29,0
10000179,APP10000179,2024FA,2024-05-04,Admit,2024-05-28,1
10000180,APP10000180,2024FA,2024-01-21,Admit,2024-01-26,0
10000181,APP10000181,2025SP,2024-03-03,Admit,2024-03-09,1
10000182,APP10000182,2024FA,2024-03-12,Admit,2024-03-25,1
10000183,APP10000183,2025SP,2024-01-29,Admit,2024-02-03,1
10000184,APP10000184,2025SP,2024-04-27,Admit,2024-05-06,1
10000185,APP10000185,2024FA,2024-03-25,Admit,2024-04-12,0
10000186,APP10000186,2024FA,2024-06-22,Admit,2024-06-30,0
10000187,APP10000187,2025SP,2024-06-29,Admit,2024-07-27,1
10000188,APP10000188,2025SP,2024-02-26,Admit,2024-03-11,1
10000189,APP10000189,2025SP,2024-07-03,Admit,2024-07-13,1
10000190,APP10000190,2025SP,2024-03-11,Admit,2024-03-16,1
10000191,APP10000191,2025SP,2024-05-22,Admit,2024-06-12,1
10000192,APP10000192,2025SP,2024-04-08,Admit,2024-05-03,1
10000193,APP10000193,2025SP,2024-04-01,Admit,2024-04-12,1
10000194,APP10000194,2025SP,2024-03-03,Admit,2024-03-28,1
10000195,APP10000195,2025SP,2024-02-02,Admit,2024-02-10,1
10000196,APP10000196,2025SP,2024-01-19,Admit,2024-02-15,1
10000197,APP10000197,2025SP,2024-01-14,Admit,2024-02-10,1
10000198,APP10000198,2025SP,2024-02-08,Admit,2024-03-02,1
10000199,APP10000199,2024FA,2024-05-12,Admit,2024-06-01,1
10000200,APP10000200,2024FA,2024-03-15,Admit,2024-03-29,1
10000201,APP10000201,2024FA,2024-06-21,Admit,2024-07-09,1
10000202,APP10000202,2024FA,2024-01-17,Admit,2024-02-10,1
10000203,APP10000203,2024FA,2024-05-30,Admit,2024-06-21,1
10000204,APP10000204,2025SP,2024-05-19,Admit,2024-06-18,0
10000205,APP10000205,2024FA,2024-03-17,Admit,2024-04-16,1
10000206,APP10000206,2025SP,2024-03-01,Admit,2024-03-23,1
10000207,APP10000207,2024FA,2024-03-15,Admit,2024-03-21,1
10000208,APP10000208,2024FA,2024-02-22,Admit,2024-02-29,1
10000209,APP10000209,2024FA,2024-04-26,Admit,2024-05-20,1
10000210,APP10000210,2024FA,2024-02-23,Admit,2024-03-17,1
10000211,APP10000211,2024FA,2024-01-08,Admit,2024-02-06,1
10000212,APP10000212,2024FA,2024-07-09,Admit,2024-07-17,1
10000213,APP10000213,2025SP,2024-04-19,Admit,2024-05-07,0
10000214,APP10000214,2025SP,2024-02-03,Admit,2024-02-25,1
10000215,APP10000215,2025SP,2024-07-15,Admit,2024-08-12,1
10000216,APP10000216,2025SP,2024-04-26,Admit,2024-05-25,1
10000217,APP10000217,2024FA,2024-06-08,Admit,2024-06-30,1
10000218,APP10000218,2025SP,2024-07-18,Admit,2024-07-28,1
10000219,APP10000219,2025SP,2024-01-13,Admit,2024-02-10,1
10000220,APP10000220,2025SP,2024-01-27,Admit,2024-02-23,1
10000221,APP10000221,2024FA,2024-05-29,Admit,2024-06-28,1
10000222,APP10000222,2024FA,2024-07-05,Admit,2024-07-25,1
10000223,APP10000223,2024FA,2024-01-13,Admit,2024-01-21,1
10000224,APP10000224,2024FA,2024-03-04,Admit,2024-04-01,1
10000225,APP10000225,2025SP,2024-02-05,Admit,2024-02-23,1
10000226,APP10000226,2025SP,2024-04-23,Admit,2024-04-30,1
10000227,APP10000227,2024FA,2024-04-12,Admit,2024-05-06,1
10000228,APP10000228,2024FA,2024-05-07,Admit,2024-05-26,1
10000229,APP10000229,2025SP,2024-03-06,Admit,2024-03-31,1
10000230,APP10000230,2025SP,2024-01-10,Admit,2024-01-19,1
10000231,APP10000231,2024FA,2024-02-06,Admit,2024-02-14,0
10000232,APP10000232,2025SP,2024-03-03,Admit,2024-03-11,1
10000233,APP10000233,2024FA,2024-06-08,Admit,2024-06-21,1
10000234,APP10000234,2025SP,2024-01-12,Admit,2024-01-19,1
10000235,APP10000235,2024FA,2024-01-29,Admit,2024-02-24,1
10000236,APP10000236,2024FA,2024-07-17,Admit,2024-07-23,0
10000237,APP10000237,2025SP,2024-05-27,Admit,2024-06-23,1
10000238,APP10000238,2025SP,2024-01-26,Admit,2024-02-14,1
10000239,APP10000239,2024FA,2024-02-27,Admit,2024-03-06,1
10000240,APP10000240,2024FA,2024-06-03,Admit,2024-06-13,1
10000241,APP10000241,2025SP,2024-07-05,Admit,2024-07-31,1
10000242,APP10000242,2024FA,2024-05-31,Admit,2024-06-22,1
10000243,APP10000243,2024FA,2024-05-02,Admit,2024-05-16,1
10000244,APP10000244,2024FA,2024-06-15,Admit,2024-07-13,0
10000245,APP10000245,2024FA,2024-01-04,Admit,2024-01-11,1
10000246,APP10000246,2024FA,2024-01-11,Admit,2024-02-03,1
10000247,APP10000247,2024FA,2024-03-27,Admit,2024-04-19,0
10000248,APP10000248,2025SP,2024-05-27,Admit,2024-06-09,1
10000249,APP10000249,2025SP,2024-02-16,Admit,2024-03-02,1
10000250,APP10000250,2024FA,2024-01-06,Admit,2024-01-29,1
10000251,APP10000251,2024FA,2024-04-30,Admit,2024-05-25,1
10000252,APP10000252,2024FA,2024-01-24,Admit,2024-01-29,1
10000253,APP10000253,2024FA,2024-05-18,Admit,2024-06-04,1
10000254,APP10000254,2025SP,2024-01-19,Admit,2024-02-08,1
10000255,APP10000255,2024FA,2024-02-04,Admit,2024-02-15,1
10000256,APP10000256,2024FA,2024-02-27,Admit,2024-03-26,1
10000257,APP10000257,2024FA,2024-01-17,Admit,2024-02-10,1
10000258,APP10000258,2025SP,2024-03-04,Admit,2024-03-26,0
10000259,APP10000259,2025SP,2024-04-13,Admit,2024-05-02,1
10000260,APP10000260,2024FA,2024-02-16,Admit,2024-03-15,1
10000261,APP10000261,2024FA,2024-01-11,Admit,2024-02-07,0
10000262,APP10000262,2025SP,2024-06-21,Admit,2024-07-20,0
10000263,APP10000263,2025SP,2024-06-27,Admit,2024-07-12,0
10000264,APP10000264,2024FA,2024-07-17,Admit,2024-07-26,1
10000265,APP10000265,2024FA,2024-02-05,Admit,2024-02-14,1
10000266,APP10000266,2024FA,2024-01-08,Admit,2024-01-21,1
10000267,APP10000267,2024FA,2024-07-18,Admit,2024-07-23,1
10000268,APP10000268,2024FA,2024-03-15,Admit,2024-03-23,1
10000269,APP10000269,2024FA,2024-02-01,Admit,2024-02-24,0
10000270,APP10000270,2025SP,2024-05-04,Admit,2024-05-09,1
10000271,APP10000271,2024FA,2024-06-19,Admit,2024-07-08,1
10000272,APP10000272,2025SP,2024-01-23,Admit,2024-02-08,1
10000273,APP10000273,2024FA,2024-06-19,Admit,2024-07-16,1
10000274,APP10000274,2025SP,2024-03-02,Admit,2024-03-10,1
10000275,APP10000275,2025SP,2024-01-26,Admit,2024-02-14,1
10000276,APP10000276,2024FA,2024-04-13,Admit,2024-04-20,1
10000277,APP10000277,2024FA,2024-04-21,Admit,2024-04-29,1
10000278,APP10000278,2025SP,2024-06-02,Admit,2024-06-12,0
10000279,APP10000279,2024FA,2024-03-19,Admit,2024-04-14,1
10000280,APP10000280,2024FA,2024-04-08,Admit,2024-05-04,1
10000281,APP10000281,2024FA,2024-03-12,Admit,2024-04-08,1
10000282,APP10000282,2024FA,2024-04-22,Admit,2024-05-18,1
10000283,APP10000283,2025SP,2024-06-27,Admit,2024-07-22,1
10000284,APP10000284,2024FA,2024-05-14,Admit,2024-05-23,1
10000285,APP10000285,2025SP,2024-07-15,Admit,2024-07-20,1
10000286,APP10000286,2025SP,2024-04-25,Admit,2024-05-23,1
10000287,APP10000287,2024FA,2024-01-18,Admit,2024-02-03,1
10000288,APP10000288,2025SP,2024-04-07,Admit,2024-05-05,1
10000289,APP10000289,2025SP,2024-03-25,Admit,2024-04-14,1
10000290,APP10000290,2025SP,2024-04-04,Admit,2024-05-03,1
10000291,APP10000291,2025SP,2024-05-07,Admit,2024-05-24,1
10000292,APP10000292,2024FA,2024-03-06,Admit,2024-03-15,1
10000293,APP10000293,2025SP,2024-01-12,Admit,2024-01-20,1
10000294,APP10000294,2025SP,2024-03-16,Admit,2024-04-04,1
10000295,APP10000295,2024FA,2024-03-12,Admit,2024-04-05,1
10000296,APP10000296,2025SP,2024-03-13,Admit,2024-04-01,1
10000297,APP10000297,2025SP,2024-02-14,Admit,2024-02-29,1
10000298,APP10000298,2024FA,2024-06-09,Admit,2024-06-27,1
10000299,APP10000299,2024FA,2024-05-09,Admit,2024-05-19,1
10000300,APP10000300,2025SP,2024-05-30,Admit,2024-06-19,1
10000301,APP10000301,2024FA,2024-07-13,Admit,2024-08-04,1
10000302,APP10000302,2025SP,2024-02-07,Admit,2024-03-03,1
10000303,APP10000303,2024FA,2024-01-23,Admit,2024-02-18,1
10000304,APP10000304,2024FA,2024-04-21,Admit,2024-05-01,0
10000305,APP10000305,2025SP,2024-06-16,Admit,2024-07-05,1
10000306,APP10000306,2025SP,2024-06-22,Admit,2024-07-06,0
10000307,APP10000307,2024FA,2024-02-11,Admit,2024-03-05,1
10000308,APP10000308,2024FA,2024-03-22,Admit,2024-04-12,0
10000309,APP10000309,2024FA,2024-06-10,Admit,2024-06-20,1
10000310,APP10000310,2024FA,2024-04-21,Admit,2024-05-20,1
10000311,APP10000311,2024FA,2024-02-03,Admit,2024-02-16,1
10000312,APP10000312,2024FA,2024-03-20,Admit,2024-04-19,0
10000313,APP10000313,2025SP,2024-04-01,Admit,2024-04-12,1
10000314,APP10000314,2024FA,2024-06-15,Admit,2024-07-05,1
10000315,APP10000315,2024FA,2024-03-06,Admit,2024-03-25,1
10000316,APP10000316,2024FA,2024-06-16,Admit,2024-06-30,1
10000317,APP10000317,2024FA,2024-01-20,Admit,2024-02-06,1
10000318,APP10000318,2024FA,2024-04-13,Admit,2024-05-07,1
10000319,APP10000319,2024FA,2024-01-11,Admit,2024-02-02,1
10000320,APP10000320,2024FA,2024-01-28,Admit,2024-02-26,1
10000321,APP10000321,2025SP,2024-07-15,Admit,2024-07-31,1
10000322,APP10000322,2024FA,2024-02-15,Admit,2024-03-09,1
10000323,APP10000323,2024FA,2024-06-10,Admit,2024-07-09,1
10000324,APP10000324,2024FA,2024-05-18,Admit,2024-05-28,1
10000325,APP10000325,2024FA,2024-03-14,Admit,2024-04-09,1
10000326,APP10000326,2025SP,2024-07-03,Admit,2024-07-18,1
10000327,APP10000327,2025SP,2024-02-27,Admit,2024-03-25,0
10000328,APP10000328,2025SP,2024-01-16,Admit,2024-02-01,1
10000329,APP10000329,2024FA,2024-05-28,Admit,2024-06-24,1
10000330,APP10000330,2025SP,2024-03-05,Admit,2024-03-12,1
10000331,APP10000331,2024FA,2024-02-04,Admit,2024-02-18,1
10000332,APP10000332,2025SP,2024-06-29,Admit,2024-07-27,1
10000333,APP10000333,2024FA,2024-07-16,Admit,2024-07-26,1
10000334,APP10000334,2025SP,2024-02-08,Admit,2024-03-02,1
10000335,APP10000335,2024FA,2024-07-19,Admit,2024-08-12,1
10000336,APP10000336,2024FA,2024-05-28,Admit,2024-06-26,0
10000337,APP10000337,2025SP,2024-03-30,Admit,2024-04-28,1
10000338,APP10000338,2024FA,2024-01-08,Admit,2024-02-07,1
10000339,APP10000339,2025SP,2024-03-18,Admit,2024-03-24,1
10000340,APP10000340,2025SP,2024-05-28,Admit,2024-06-14,1
10000341,APP10000341,2024FA,2024-06-20,Admit,2024-07-19,1
10000342,APP10000342,2025SP,2024-03-11,Admit,2024-04-06,1
10000343,APP10000343,2025SP,2024-06-30,Admit,2024-07-06,0
10000344,APP10000344,2025SP,2024-02-05,Admit,2024-02-11,0
10000345,APP10000345,2024FA,2024-01-09,Admit,2024-01-16,1
10000346,APP10000346,2024FA,2024-03-16,Admit,2024-04-12,1
10000347,APP10000347,2025SP,2024-05-17,Admit,2024-06-10,1
10000348,APP10000348,2025SP,2024-07-19,Admit,2024-08-17,1
10000349,APP10000349,2024FA,2024-07-11,Admit,2024-07-16,1
10000350,APP10000350,2025SP,2024-03-20,Admit,2024-03-27,1
10000351,APP10000351,2024FA,2024-01-25,Admit,2024-02-15,0
10000352,APP10000352,2024FA,2024-07-15,Admit,2024-07-24,0
10000353,APP10000353,2024FA,2024-04-02,Admit,2024-04-28,1
10000354,APP10000354,2025SP,2024-01-12,Admit,2024-02-02,0
10000355,APP10000355,2024FA,2024-03-19,Admit,2024-04-17,0
10000356,APP10000356,2025SP,2024-02-24,Admit,2024-03-02,1
10000357,APP10000357,2024FA,2024-06-12,Admit,2024-06-27,1
10000358,APP10000358,2025SP,2024-06-23,Admit,2024-07-20,1
10000359,APP10000359,2025SP,2024-06-23,Admit,2024-07-14,1
10000360,APP10000360,2025SP,2024-01-26,Admit,2024-02-23,1
10000361,APP10000361,2025SP,2024-04-03,Admit,2024-04-12,0
10000362,APP10000362,2024FA,2024-02-12,Admit,2024-02-27,1
10000363,APP10000363,2024FA,2024-04-08,Admit,2024-04-24,1
10000364,APP10000364,2025SP,2024-05-01,Admit,2024-05-07,1
10000365,APP10000365,2024FA,2024-03-07,Admit,2024-04-03,1
10000366,APP10000366,2025SP,2024-06-12,Admit,2024-06-22,0
10000367,APP10000367,2025SP,2024-02-15,Admit,2024-02-29,1
10000368,APP10000368,2024FA,2024-05-12,Admit,2024-05-26,1
10000369,APP10000369,2024FA,2024-02-05,Admit,2024-02-25,0
10000370,APP10000370,2024FA,2024-04-17,Admit,2024-05-13,1
10000371,APP10000371,2024FA,2024-05-12,Admit,2024-05-23,1
10000372,APP10000372,2024FA,2024-05-18,Admit,2024-05-30,1
10000373,APP10000373,2024FA,2024-05-09,Admit,2024-06-01,0
10000374,APP10000374,2024FA,2024-04-11,Admit,2024-04-28,0
10000375,APP10000375,2025SP,2024-05-27,Admit,2024-06-08,1
10000376,APP10000376,2024FA,2024-07-17,Admit,2024-07-24,1
10000377,APP10000377,2024FA,2024-04-23,Admit,2024-05-14,1
10000378,APP10000378,2025SP,2024-05-25,Admit,2024-06-14,1
10000379,APP10000379,2025SP,2024-06-19,Admit,2024-07-01,1
10000380,APP10000380,2025SP,2024-06-19,Admit,2024-07-05,1
10000381,APP10000381,2025SP,2024-06-08,Admit,2024-06-19,1
10000382,APP10000382,2024FA,2024-05-12,Admit,2024-06-06,1
10000383,APP10000383,2024FA,2024-02-20,Admit,2024-03-01,1
10000384,APP10000384,2025SP,2024-03-08,Admit,2024-03-28,1
10000385,APP10000385,2024FA,2024-05-15,Admit,2024-06-11,1
10000386,APP10000386,2025SP,2024-05-31,Admit,2024-06-08,1
10000387,APP10000387,2025SP,2024-04-06,Admit,2024-04-30,1
10000388,APP10000388,2025SP,2024-03-25,Admit,2024-04-24,1
10000389,APP10000389,2024FA,2024-07-13,Admit,2024-07-30,1
10000390,APP10000390,2024FA,2024-01-25,Admit,2024-02-17,1
10000391,APP10000391,2025SP,2024-01-10,Admit,2024-01-16,1
10000392,APP10000392,2024FA,2024-06-02,Admit,2024-06-10,1
10000393,APP10000393,2025SP,2024-02-20,Admit,2024-03-21,1
10000394,APP10000394,2024FA,2024-01-24,Admit,2024-02-18,0
10000395,APP10000395,2025SP,2024-01-25,Admit,2024-01-31,0
10000396,APP10000396,2024FA,2024-03-06,Admit,2024-03-13,0
