student_id,course_section_id,term_id,enrollment_status,grade_letter,grade_points
10000033,ENG153-2025FA-S02,2025FA,ENROLLED,,
10000033,PSYC120-2025FA-S01,2025FA,ENROLLED,,
10000033,BUS301-2025FA-S01,2025FA,ENROLLED,,
10000034,CS291-2025FA-S01,2025FA,ENROLLED,,
10000034,PHIL375-2025FA-S01,2025FA,ENROLLED,,
10000034,PHYS301-2025FA-S02,2025FA,ENROLLED,,
10000034,ART188-2025FA-S01,2025FA,ENROLLED,,
10000035,CS291-2025FA-S01,2025FA,ENROLLED,,
10000035,HIST492-2025FA-S01,2025FA,ENROLLED,,
10000035,STAT413-2025FA-S02,2025FA,ENROLLED,,
10000035,PHIL375-2025FA-S01,2025FA,ENROLLED,,
10000036,BIO493-2025FA-S01,2025FA,ENROLLED,,
10000036,SOC239-2025FA-S03,2025FA,ENROLLED,,
10000036,CHEM442-2025FA-S02,2025FA,ENROLLED,,
10000036,CS291-2025FA-S01,2025FA,ENROLLED,,
10000036,BIO144-2025SP-S01,2025SP,COMPLETED,C,2.0
10000036,MATH126-2025SP-S01,2025SP,COMPLETED,F,0.0
10000036,BIO493-2025SP-S03,2025SP,COMPLETED,F,0.0
10000037,PHIL376-2025FA-S01,2025FA,ENROLLED,,
10000037,CS438-2025FA-S01,2025FA,ENROLLED,,
10000037,ECON297-2025FA-S01,2025FA,ENROLLED,,
10000037,BUS433-2025FA-S01,2025FA,ENROLLED,,
10000037,STAT192-2025SP-S01,2025SP,COMPLETED,F,0.0
10000037,PHIL188-2025SP-S02,2025SP,COMPLETED,C,2.0
10000037,ENG432-2025SP-S01,2025SP,COMPLETED,B-,2.7
10000037,MATH387-2025SP-S02,2025SP,COMPLETED,F,0.0
10000038,BIO447-2025FA-S01,2025FA,ENROLLED,,
10000038,ART316-2025FA-S01,2025FA,ENROLLED,,
10000038,MATH442-2025FA-S01,2025FA,ENROLLED,,
10000038,BUS301-2025FA-S01,2025FA,ENROLLED,,
10000038,ART372-2025FA-S01,2025FA,ENROLLED,,
10000039,ECON250-2025FA-S01,2025FA,ENROLLED,,
10000039,ENG104-2025FA-S01,2025FA,ENROLLED,,
10000039,PHYS250-2025FA-S01,2025FA,ENROLLED,,
10000039,CHEM379-2025FA-S02,2025FA,ENROLLED,,
10000039,ENG153-2025FA-S02,2025FA,ENROLLED,,
10000040,CHEM379-2025FA-S02,2025FA,ENROLLED,,
10000040,HIST254-2025FA-S01,2025FA,ENROLLED,,
10000040,BUS106-2025FA-S02,2025FA,ENROLLED,,
10000040,ECON406-2025FA-S02,2025FA,ENROLLED,,
10000041,CS365-2025FA-S01,2025FA,ENROLLED,,
10000041,ECON398-2025FA-S01,2025FA,ENROLLED,,
10000041,ECON392-2025FA-S01,2025FA,ENROLLED,,
10000041,HIST344-2025FA-S01,2025FA,ENROLLED,,
10000042,STAT426-2025FA-S02,2025FA,ENROLLED,,
10000042,PHYS137-2025FA-S02,2025FA,ENROLLED,,
10000042,SOC228-2025FA-S01,2025FA,ENROLLED,,
10000042,PSYC116-2025FA-S01,2025FA,ENROLLED,,
10000042,CS377-2025FA-S01,2025FA,ENROLLED,,
10000043,BIO113-2025FA-S02,2025FA,ENROLLED,,
10000043,STAT426-2025FA-S02,2025FA,ENROLLED,,
10000043,STAT413-2025FA-S01,2025FA,ENROLLED,,
10000043,MATH265-2025FA-S01,2025FA,ENROLLED,,
10000043,MATH296-2025SP-S01,2025SP,COMPLETED,B,3.0
10000043,CHEM379-2025SP-S01,2025SP,COMPLETED,D,1.0
10000043,MATH126-2025SP-S01,2025SP,COMPLETED,D,1.0
10000044,STAT413-2025FA-S01,2025FA,ENROLLED,,
10000044,ART152-2025FA-S01,2025FA,ENROLLED,,
10000044,ART372-2025FA-S01,2025FA,ENROLLED,,
10000044,CS228-2025FA-S01,2025FA,ENROLLED,,
10000045,HIST329-2025FA-S01,2025FA,ENROLLED,,
10000045,ART316-2025FA-S01,2025FA,ENROLLED,,
10000045,SOC495-2025FA-S02,2025FA,ENROLLED,,
10000045,MATH197-2025FA-S01,2025FA,ENROLLED,,
10000045,CS365-2025SP-S01,2025SP,COMPLETED,D,1.0
10000045,CHEM442-2025SP-S01,2025SP,COMPLETED,D,1.0
10000045,PHIL241-2025SP-S03,2025SP,COMPLETED,C+,2.3
10000045,MATH132-2025SP-S02,2025SP,COMPLETED,A-,3.7
10000046,ECON255-2025FA-S01,2025FA,ENROLLED,,
10000046,PSYC466-2025FA-S01,2025FA,ENROLLED,,
10000046,BIO222-2025FA-S02,2025FA,ENROLLED,,
10000046,BUS106-2025FA-S02,2025FA,ENROLLED,,
10000047,HIST407-2025FA-S01,2025FA,ENROLLED,,
10000047,ENG153-2025FA-S01,2025FA,ENROLLED,,
10000047,CHEM286-2025FA-S03,2025FA,ENROLLED,,
10000047,CHEM442-2025FA-S02,2025FA,ENROLLED,,
10000048,MATH296-2025FA-S01,2025FA,ENROLLED,,
10000048,CS498-2025FA-S02,2025FA,ENROLLED,,
10000048,BIO222-2025FA-S01,2025FA,ENROLLED,,
10000048,ECON392-2025FA-S01,2025FA,ENROLLED,,
10000049,CS291-2025FA-S01,2025FA,ENROLLED,,
10000049,PHYS137-2025FA-S02,2025FA,ENROLLED,,
10000049,CS498-2025FA-S02,2025FA,ENROLLED,,
10000049,ART372-2025FA-S01,2025FA,ENROLLED,,
10000049,CS441-2025SP-S01,2025SP,COMPLETED,F,0.0
10000049,ART188-2025SP-S01,2025SP,COMPLETED,D,1.0
10000049,PSYC240-2025SP-S03,2025SP,COMPLETED,B+,3.3
10000049,PHIL376-2025SP-S01,2025SP,COMPLETED,A-,3.7
10000050,SOC143-2025FA-S02,2025FA,ENROLLED,,
10000050,PHYS137-2025FA-S02,2025FA,ENROLLED,,
10000050,SOC239-2025FA-S03,2025FA,ENROLLED,,
10000050,CHEM286-2025FA-S01,2025FA,ENROLLED,,
10000050,BIO144-2025FA-S01,2025FA,ENROLLED,,
10000051,PHYS301-2025FA-S01,2025FA,ENROLLED,,
10000051,MATH265-2025FA-S01,2025FA,ENROLLED,,
10000051,ECON255-2025FA-S01,2025FA,ENROLLED,,
10000051,ENG175-2025FA-S01,2025FA,ENROLLED,,
10000051,BUS301-2025SP-S01,2025SP,COMPLETED,B+,3.3
10000051,BUS333-2025SP-S01,2025SP,COMPLETED,B,3.0
10000051,PHIL241-2025SP-S01,2025SP,COMPLETED,C+,2.3
10000051,CS498-2025SP-S01,2025SP,COMPLETED,F,0.0
10000052,BIO493-2025FA-S01,2025FA,ENROLLED,,
10000052,ART164-2025FA-S01,2025FA,ENROLLED,,
10000052,BUS119-2025FA-S02,2025FA,ENROLLED,,
10000052,ENG104-2025FA-S02,2025FA,ENROLLED,,
10000052,SOC228-2025FA-S01,2025FA,ENROLLED,,
10000053,PSYC120-2025FA-S03,2025FA,ENROLLED,,
10000053,ECON145-2025FA-S02,2025FA,ENROLLED,,
10000053,MATH422-2025FA-S01,2025FA,ENROLLED,,
10000053,PSYC212-2025FA-S02,2025FA,ENROLLED,,
10000053,PSYC240-2025SP-S03,2025SP,COMPLETED,D,1.0
10000053,CHEM181-2025SP-S02,2025SP,COMPLETED,C+,2.3
10000053,SOC228-2025SP-S01,2025SP,COMPLETED,A-,3.7
10000053,SOC495-2025SP-S02,2025SP,COMPLETED,A-,3.7
10000054,STAT297-2025FA-S01,2025FA,ENROLLED,,
10000054,ENG175-2025FA-S01,2025FA,ENROLLED,,
10000054,SOC239-2025FA-S03,2025FA,ENROLLED,,
10000054,MATH387-2025FA-S01,2025FA,ENROLLED,,
10000054,BUS252-2025FA-S01,2025FA,ENROLLED,,
10000055,SOC143-2025FA-S01,2025FA,ENROLLED,,
10000055,ENG226-2025FA-S01,2025FA,ENROLLED,,
10000055,BUS252-2025FA-S01,2025FA,ENROLLED,,
10000055,PSYC116-2025FA-S02,2025FA,ENROLLED,,
10000055,BIO493-2025SP-S02,2025SP,COMPLETED,B-,2.7
10000055,ART192-2025SP-S02,2025SP,COMPLETED,C,2.0
10000055,ENG226-2025SP-S02,2025SP,COMPLETED,D,1.0
10000056,ART372-2025FA-S02,2025FA,ENROLLED,,
10000056,BUS312-2025FA-S01,2025FA,ENROLLED,,
10000056,ART323-2025FA-S01,2025FA,ENROLLED,,
10000056,PSYC466-2025FA-S01,2025FA,ENROLLED,,
10000057,SOC436-2025FA-S02,2025FA,ENROLLED,,
10000057,ART323-2025FA-S01,2025FA,ENROLLED,,
10000057,CS498-2025FA-S02,2025FA,ENROLLED,,
10000057,PHYS419-2025FA-S01,2025FA,ENROLLED,,
10000057,BIO113-2025FA-S01,2025FA,ENROLLED,,
10000058,BUS312-2025FA-S01,2025FA,ENROLLED,,
10000058,BUS119-2025FA-S03,2025FA,ENROLLED,,
10000058,MATH126-2025FA-S01,2025FA,ENROLLED,,
10000058,BUS106-2025FA-S01,2025FA,ENROLLED,,
10000059,BUS370-2025FA-S01,2025FA,ENROLLED,,
10000059,ENG153-2025FA-S01,2025FA,ENROLLED,,
10000059,ART192-2025FA-S02,2025FA,ENROLLED,,
10000059,CHEM442-2025FA-S02,2025FA,ENROLLED,,
10000059,PSYC116-2025FA-S01,2025FA,ENROLLED,,
10000059,STAT192-2025SP-S01,2025SP,COMPLETED,C,2.0
10000059,CS498-2025SP-S01,2025SP,COMPLETED,C+,2.3
10000059,PHYS261-2025SP-S01,2025SP,COMPLETED,D,1.0
10000059,BUS119-2025SP-S01,2025SP,COMPLETED,C,2.0
10000060,SOC436-2025FA-S01,2025FA,ENROLLED,,
10000060,ART332-2025FA-S02,2025FA,ENROLLED,,
10000060,MATH265-2025FA-S01,2025FA,ENROLLED,,
10000060,ECON392-2025FA-S01,2025FA,ENROLLED,,
10000060,STAT426-2025SP-S03,2025SP,COMPLETED,F,0.0
10000060,PHYS250-2025SP-S01,2025SP,COMPLETED,B,3.0
10000060,ECON145-2025SP-S01,2025SP,COMPLETED,B,3.0
10000060,PSYC120-2025SP-S02,2025SP,COMPLETED,B+,3.3
10000061,BIO256-2025FA-S01,2025FA,ENROLLED,,
10000061,BUS119-2025FA-S03,2025FA,ENROLLED,,
10000061,PSYC116-2025FA-S01,2025FA,ENROLLED,,
10000061,ECON312-2025FA-S01,2025FA,ENROLLED,,
10000061,BUS119-2025SP-S01,2025SP,COMPLETED,B-,2.7
10000061,MATH197-2025SP-S01,2025SP,COMPLETED,C+,2.3
10000061,STAT413-2025SP-S01,2025SP,COMPLETED,D,1.0
10000061,BUS433-2025SP-S01,2025SP,COMPLETED,B+,3.3
10000062,ENG104-2025FA-S02,2025FA,ENROLLED,,
10000062,ENG104-2025FA-S01,2025FA,ENROLLED,,
10000062,CHEM300-2025FA-S01,2025FA,ENROLLED,,
10000062,PHIL375-2025FA-S01,2025FA,ENROLLED,,
10000063,CHEM286-2025FA-S03,2025FA,ENROLLED,,
10000063,CHEM442-2025FA-S03,2025FA,ENROLLED,,
10000063,ART372-2025FA-S02,2025FA,ENROLLED,,
10000063,PHYS301-2025FA-S01,2025FA,ENROLLED,,
10000063,CHEM286-2025FA-S02,2025FA,ENROLLED,,
10000063,ECON406-2025SP-S03,2025SP,COMPLETED,B-,2.7
10000063,CHEM286-2025SP-S01,2025SP,COMPLETED,A,4.0
10000063,CS320-2025SP-S01,2025SP,COMPLETED,C+,2.3
10000063,CS377-2025SP-S01,2025SP,COMPLETED,A-,3.7
10000064,BIO160-2025FA-S01,2025FA,ENROLLED,,
10000064,ECON398-2025FA-S01,2025FA,ENROLLED,,
10000064,SOC143-2025FA-S02,2025FA,ENROLLED,,
10000064,PHYS301-2025FA-S02,2025FA,ENROLLED,,
10000065,CS441-2025FA-S01,2025FA,ENROLLED,,
10000065,ART348-2025FA-S01,2025FA,ENROLLED,,
10000065,ART188-2025FA-S01,2025FA,ENROLLED,,
10000065,PHYS137-2025FA-S01,2025FA,ENROLLED,,
10000065,BUS199-2025FA-S01,2025FA,ENROLLED,,
10000065,PHIL104-2025SP-S01,2025SP,COMPLETED,B-,2.7
10000065,ART164-2025SP-S01,2025SP,COMPLETED,C,2.0
10000065,PHIL104-2025SP-S03,2025SP,COMPLETED,A-,3.7
10000065,MATH422-2025SP-S03,2025SP,COMPLETED,D,1.0
10000066,ECON145-2025FA-S01,2025FA,ENROLLED,,
10000066,SOC239-2025FA-S01,2025FA,ENROLLED,,
10000066,ENG432-2025FA-S01,2025FA,ENROLLED,,
10000066,BIO447-2025FA-S02,2025FA,ENROLLED,,
10000067,ECON115-2025FA-S01,2025FA,ENROLLED,,
10000067,CHEM181-2025FA-S02,2025FA,ENROLLED,,
10000067,STAT339-2025FA-S01,2025FA,ENROLLED,,
10000067,ENG104-2025FA-S03,2025FA,ENROLLED,,
10000067,SOC488-2025SP-S01,2025SP,COMPLETED,C+,2.3
10000067,MATH387-2025SP-S01,2025SP,COMPLETED,A-,3.7
10000067,ENG287-2025SP-S01,2025SP,COMPLETED,B-,2.7
10000068,ENG287-2025FA-S01,2025FA,ENROLLED,,
10000068,BIO113-2025FA-S01,2025FA,ENROLLED,,
10000068,CHEM286-2025FA-S03,2025FA,ENROLLED,,
10000068,BUS301-2025FA-S02,2025FA,ENROLLED,,
10000069,PHIL241-2025FA-S01,2025FA,ENROLLED,,
10000069,MATH267-2025FA-S01,2025FA,ENROLLED,,
10000069,SOC317-2025FA-S01,2025FA,ENROLLED,,
10000069,MATH265-2025FA-S01,2025FA,ENROLLED,,
10000070,ART164-2025FA-S01,2025FA,ENROLLED,,
10000070,STAT297-2025FA-S01,2025FA,ENROLLED,,
10000070,PHYS250-2025FA-S01,2025FA,ENROLLED,,
10000070,PSYC251-2025FA-S01,2025FA,ENROLLED,,
10000070,SOC239-2025SP-S02,2025SP,COMPLETED,B,3.0
10000070,ART207-2025SP-S01,2025SP,COMPLETED,A-,3.7
10000070,ART316-2025SP-S01,2025SP,COMPLETED,B,3.0
10000071,ENG175-2025FA-S01,2025FA,ENROLLED,,
10000071,MATH387-2025FA-S01,2025FA,ENROLLED,,
10000071,MATH267-2025FA-S01,2025FA,ENROLLED,,
10000071,SOC312-2025FA-S01,2025FA,ENROLLED,,
10000071,ENG153-2025FA-S02,2025FA,ENROLLED,,
10000072,PHYS250-2025FA-S01,2025FA,ENROLLED,,
10000072,SOC488-2025FA-S01,2025FA,ENROLLED,,
10000072,BUS301-2025FA-S03,2025FA,ENROLLED,,
10000072,CHEM379-2025FA-S03,2025FA,ENROLLED,,
10000072,CS241-2025FA-S01,2025FA,ENROLLED,,
10000072,MATH132-2025SP-S02,2025SP,COMPLETED,B,3.0
10000072,PSYC240-2025SP-S01,2025SP,COMPLETED,B,3.0
