award_id,student_id,term_id,aid_type,amount,disbursed_dt
AWD0000114,10000131,2025FA,Loan,2447,2025-08-20
AWD0000115,10000131,2025SP,Grant,2411,2025-01-10
AWD0000116,10000132,2025SP,Loan,1246,2025-01-10
AWD0000117,10000133,2025FA,Grant,1996,2025-08-20
AWD0000118,10000134,2025SP,Scholarship,1687,2025-01-10
AWD0000119,10000135,2025FA,Loan,1300,2025-08-20
AWD0000120,10000135,2025SP,Scholarship,2275,2025-01-10
AWD0000121,10000139,2025FA,Scholarship,2995,2025-08-20
AWD0000122,10000140,2025FA,Scholarship,3126,2025-08-20
AWD0000123,10000140,2025SP,Scholarship,1789,2025-01-10
AWD0000124,10000142,2025FA,Loan,681,2025-08-20
AWD0000125,10000143,2025FA,Scholarship,654,2025-08-20
AWD0000126,10000145,2025FA,Scholarship,1468,2025-08-20
AWD0000127,10000146,2025FA,Loan,564,2025-08-20
AWD0000128,10000147,2025SP,Grant,1922,2025-01-10
AWD0000129,10000148,2025FA,Loan,2191,2025-08-20
AWD0000130,10000152,2025FA,Loan,3426,2025-08-20
AWD0000131,10000152,2025SP,Loan,1053,2025-01-10
AWD0000132,10000153,2025FA,Loan,2731,2025-08-20
AWD0000133,10000154,2025FA,Scholarship,1170,2025-08-20
AWD0000134,10000156,2025FA,Loan,679,2025-08-20
AWD0000135,10000157,2025SP,Scholarship,1595,2025-01-10
AWD0000136,10000158,2025FA,Loan,942,2025-08-20
AWD0000137,10000159,2025FA,Loan,1622,2025-08-20
AWD0000138,10000160,2025FA,Loan,2306,2025-08-20
AWD0000139,10000160,2025SP,Scholarship,3363,2025-01-10
AWD0000140,10000165,2025FA,Scholarship,1759,2025-08-20
AWD0000141,10000166,2025FA,Loan,1456,2025-08-20
AWD0000142,10000168,2025FA,Scholarship,1056,2025-08-20
AWD0000143,10000169,2025FA,Scholarship,1580,2025-08-20
AWD0000144,10000170,2025FA,Grant,839,2025-08-20
AWD0000145,10000171,2025SP,Grant,2897,2025-01-10
AWD0000146,10000173,2025FA,Grant,1268,2025-08-20
AWD0000147,10000176,2025FA,Grant,2172,2025-08-20
AWD0000148,10000176,2025SP,Scholarship,1279,2025-01-10
AWD0000149,10000178,2025FA,Grant,1447,2025-08-20
AWD0000150,10000180,2025FA,Grant,1784,2025-08-20
AWD0000151,10000182,2025FA,Grant,679,2025-08-20
AWD0000152,10000183,2025FA,Scholarship,1908,2025-08-20
AWD0000153,10000184,2025FA,Loan,1623,2025-08-20
AWD0000154,10000185,2025FA,Scholarship,2777,2025-08-20
AWD0000155,10000186,2025FA,Scholarship,2977,2025-08-20
AWD0000156,10000188,2025FA,Grant,3136,2025-08-20
AWD0000157,10000189,2025FA,Grant,3399,2025-08-20
AWD0000158,10000191,2025FA,Scholarship,2664,2025-08-20
AWD0000159,10000192,2025FA,Scholarship,1642,2025-08-20
AWD0000160,10000193,2025FA,Scholarship,1928,2025-08-20
AWD0000161,10000194,2025FA,Grant,2785,2025-08-20
AWD0000162,10000196,2025SP,Grant,3096,2025-01-10
AWD0000163,10000197,2025FA,Scholarship,671,2025-08-20
AWD0000164,10000198,2025FA,Loan,1000,2025-08-20
AWD0000165,10000199,2025FA,Grant,1244,2025-08-20
AWD0000166,10000201,2025FA,Grant,1214,2025-08-20
AWD0000167,10000202,2025FA,Scholarship,1090,2025-08-20
AWD0000168,10000205,2025FA,Loan,2078,2025-08-20
AWD0000169,10000206,2025FA,Scholarship,3235,2025-08-20
AWD0000170,10000207,2025FA,Loan,1478,2025-08-20
AWD0000171,10000208,2025FA,Scholarship,567,2025-08-20
AWD0000172,10000210,2025FA,Scholarship,2338,2025-08-20
AWD0000173,10000211,2025FA,Loan,3245,2025-08-20
AWD0000174,10000211,2025SP,Scholarship,694,2025-01-10
AWD0000175,10000215,2025FA,Grant,2579,2025-08-20
AWD0000176,10000218,2025FA,Grant,595,2025-08-20
AWD0000177,10000219,2025FA,Grant,647,2025-08-20
AWD0000178,10000220,2025FA,Scholarship,1782,2025-08-20
AWD0000179,10000221,2025SP,Loan,2594,2025-01-10
AWD0000180,10000222,2025FA,Scholarship,2296,2025-08-20
AWD0000181,10000223,2025SP,Grant,904,2025-01-10
AWD0000182,10000224,2025SP,Scholarship,3144,2025-01-10
AWD0000183,10000225,2025FA,Grant,1121,2025-08-20
AWD0000184,10000229,2025FA,Scholarship,2146,2025-08-20
AWD0000185,10000230,2025SP,Loan,3280,2025-01-10
AWD0000186,10000231,2025SP,Grant,607,2025-01-10
AWD0000187,10000232,2025FA,Loan,1295,2025-08-20
AWD0000188,10000233,2025FA,Loan,1316,2025-08-20
AWD0000189,10000235,2025SP,Scholarship,1915,2025-01-10
AWD0000190,10000236,2025FA,Grant,2110,2025-08-20
AWD0000191,10000239,2025FA,Grant,586,2025-08-20
AWD0000192,10000241,2025FA,Scholarship,1192,2025-08-20
AWD0000193,10000242,2025FA,Scholarship,2219,2025-08-20
AWD0000194,10000243,2025FA,Scholarship,1005,2025-08-20
AWD0000195,10000244,2025FA,Scholarship,2501,2025-08-20
AWD0000196,10000245,2025FA,Scholarship,620,2025-08-20
AWD0000197,10000246,2025FA,Grant,1185,2025-08-20
AWD0000198,10000246,2025SP,Scholarship,1257,2025-01-10
AWD0000199,10000248,2025FA,Loan,1071,2025-08-20
AWD0000200,10000249,2025FA,Grant,2679,2025-08-20
AWD0000201,10000249,2025SP,Loan,749,2025-01-10
AWD0000202,10000251,2025FA,Scholarship,2242,2025-08-20
AWD0000203,10000253,2025FA,Loan,1422,2025-08-20
AWD0000204,10000255,2025FA,Grant,692,2025-08-20
AWD0000205,10000257,2025FA,Grant,3196,2025-08-20
AWD0000206,10000260,2025FA,Loan,2750,2025-08-20
AWD0000207,10000261,2025SP,Scholarship,2705,2025-01-10
AWD0000208,10000262,2025FA,Scholarship,2198,2025-08-20
AWD0000209,10000262,2025SP,Loan,2364,2025-01-10
AWD0000210,10000263,2025FA,Loan,2135,2025-08-20
AWD0000211,10000264,2025FA,Scholarship,2835,2025-08-20
AWD0000212,10000265,2025FA,Scholarship,1766,2025-08-20
AWD0000213,10000266,2025SP,Loan,1027,2025-01-10
AWD0000214,10000267,2025FA,Grant,1318,2025-08-20
AWD0000215,10000268,2025FA,Scholarship,1684,2025-08-20
AWD0000216,10000269,2025FA,Loan,2877,2025-08-20
AWD0000217,10000271,2025FA,Loan,860,2025-08-20
AWD0000218,10000271,2025SP,Grant,814,2025-01-10
AWD0000219,10000272,2025FA,Scholarship,2275,2025-08-20
AWD0000220,10000273,2025SP,Grant,2201,2025-01-10
AWD0000221,10000275,2025SP,Loan,2946,2025-01-10
AWD0000222,10000276,2025FA,Grant,1375,2025-08-20
AWD0000223,10000277,2025FA,Scholarship,2218,2025-08-20
AWD0000224,10000278,2025FA,Scholarship,691,2025-08-20
AWD0000225,10000279,2025SP,Scholarship,807,2025-01-10
AWD0000226,10000283,2025FA,Scholarship,1027,2025-08-20
AWD0000227,10000285,2025FA,Grant,1160,2025-08-20
AWD0000228,10000286,2025FA,Loan,589,2025-08-20
AWD0000229,10000287,2025FA,Loan,3088,2025-08-20
AWD0000230,10000287,2025SP,Grant,2089,2025-01-10
AWD0000231,10000288,2025FA,Grant,3017,2025-08-20
AWD0000232,10000289,2025FA,Grant,2112,2025-08-20
AWD0000233,10000290,2025FA,Grant,3419,2025-08-20
AWD0000234,10000292,2025FA,Scholarship,3301,2025-08-20
AWD0000235,10000294,2025SP,Scholarship,2062,2025-01-10
AWD0000236,10000295,2025FA,Scholarship,737,2025-08-20
AWD0000237,10000296,2025FA,Scholarship,1815,2025-08-20
AWD0000238,10000296,2025SP,Grant,3475,2025-01-10
AWD0000239,10000297,2025FA,Loan,2635,2025-08-20
AWD0000240,10000298,2025FA,Scholarship,1136,2025-08-20
AWD0000241,10000301,2025FA,Scholarship,892,2025-08-20
AWD0000242,10000302,2025FA,Scholarship,1808,2025-08-20
AWD0000243,10000303,2025FA,Loan,1820,2025-08-20
AWD0000244,10000304,2025FA,Grant,1323,2025-08-20
AWD0000245,10000307,2025FA,Loan,2318,2025-08-20
AWD0000246,10000308,2025FA,Loan,1122,2025-08-20
AWD0000247,10000309,2025SP,Grant,3281,2025-01-10
AWD0000248,10000310,2025FA,Grant,2456,2025-08-20
AWD0000249,10000311,2025FA,Grant,2077,2025-08-20
AWD0000250,10000312,2025FA,Grant,3256,2025-08-20
AWD0000251,10000313,2025FA,Scholarship,3049,2025-08-20
AWD0000252,10000316,2025FA,Grant,1249,2025-08-20
AWD0000253,10000317,2025FA,Grant,849,2025-08-20
AWD0000254,10000318,2025FA,Scholarship,1165,2025-08-20
AWD0000255,10000318,2025SP,Loan,2478,2025-01-10
AWD0000256,10000319,2025FA,Scholarship,2141,2025-08-20
AWD0000257,10000320,2025SP,Loan,2493,2025-01-10
AWD0000258,10000322,2025FA,Grant,3015,2025-08-20
AWD0000259,10000323,2025SP,Scholarship,2236,2025-01-10
AWD0000260,10000324,2025FA,Loan,720,2025-08-20
AWD0000261,10000324,2025SP,Scholarship,1709,2025-01-10
AWD0000262,10000325,2025FA,Loan,1812,2025-08-20
AWD0000263,10000326,2025FA,Scholarship,1761,2025-08-20
AWD0000264,10000326,2025SP,Scholarship,1934,2025-01-10
AWD0000265,10000327,2025SP,Loan,1141,2025-01-10
AWD0000266,10000328,2025FA,Grant,2280,2025-08-20
AWD0000267,10000328,2025SP,Grant,1245,2025-01-10
AWD0000268,10000329,2025SP,Scholarship,3426,2025-01-10
AWD0000269,10000331,2025FA,Loan,1398,2025-08-20
AWD0000270,10000331,2025SP,Scholarship,2021,2025-01-10
AWD0000271,10000333,2025FA,Grant,2161,2025-08-20
AWD0000272,10000334,2025FA,Grant,2054,2025-08-20
AWD0000273,10000334,2025SP,Scholarship,892,2025-01-10
AWD0000274,10000336,2025FA,Scholarship,521,2025-08-20
AWD0000275,10000338,2025FA,Loan,3358,2025-08-20
AWD0000276,10000338,2025SP,Grant,889,2025-01-10
AWD0000277,10000340,2025FA,Grant,1305,2025-08-20
AWD0000278,10000341,2025FA,Grant,2285,2025-08-20
AWD0000279,10000342,2025FA,Loan,1649,2025-08-20
AWD0000280,10000343,2025FA,Grant,898,2025-08-20
AWD0000281,10000345,2025FA,Loan,706,2025-08-20
AWD0000282,10000345,2025SP,Scholarship,3099,2025-01-10
AWD0000283,10000346,2025SP,Grant,634,2025-01-10
AWD0000284,10000347,2025FA,Grant,548,2025-08-20
AWD0000285,10000349,2025FA,Scholarship,2444,2025-08-20
AWD0000286,10000350,2025FA,Scholarship,570,2025-08-20
AWD0000287,10000351,2025FA,Loan,3409,2025-08-20
AWD0000288,10000352,2025FA,Loan,2695,2025-08-20
AWD0000289,10000353,2025SP,Grant,2643,2025-01-10
AWD0000290,10000354,2025FA,Grant,2822,2025-08-20
AWD0000291,10000356,2025FA,Scholarship,1989,2025-08-20
AWD0000292,10000359,2025FA,Grant,2548,2025-08-20
AWD0000293,10000360,2025FA,Grant,1415,2025-08-20
AWD0000294,10000361,2025SP,Loan,528,2025-01-10
AWD0000295,10000362,2025FA,Scholarship,2642,2025-08-20
AWD0000296,10000363,2025FA,Grant,1360,2025-08-20
AWD0000297,10000363,2025SP,Grant,685,2025-01-10
AWD0000298,10000365,2025FA,Loan,3164,2025-08-20
AWD0000299,10000367,2025FA,Loan,3492,2025-08-20
AWD0000300,10000368,2025SP,Loan,1772,2025-01-10
AWD0000301,10000369,2025FA,Grant,1934,2025-08-20
AWD0000302,10000370,2025FA,Scholarship,1297,2025-08-20
AWD0000303,10000372,2025FA,Grant,1817,2025-08-20
AWD0000304,10000373,2025FA,Grant,3338,2025-08-20
AWD0000305,10000375,2025FA,Scholarship,2094,2025-08-20
AWD0000306,10000375,2025SP,Grant,1178,2025-01-10
AWD0000307,10000378,2025FA,Scholarship,1586,2025-08-20
AWD0000308,10000379,2025FA,Grant,1503,2025-08-20
AWD0000309,10000380,2025FA,Loan,1443,2025-08-20
AWD0000310,10000382,2025FA,Grant,2110,2025-08-20
AWD0000311,10000383,2025FA,Loan,2088,2025-08-20
AWD0000312,10000384,2025FA,Loan,2752,2025-08-20
AWD0000313,10000384,2025SP,Loan,1785,2025-01-10
AWD0000314,10000385,2025FA,Grant,503,2025-08-20
AWD0000315,10000386,2025FA,Grant,2345,2025-08-20
AWD0000316,10000394,2025FA,Grant,3248,2025-08-20
AWD0000317,10000395,2025FA,Scholarship,1756,2025-08-20
AWD0000318,10000400,2025SP,Scholarship,2682,2025-01-10
AWD0000319,10000402,2025FA,Loan,1037,2025-08-20
AWD0000320,10000403,2025FA,Grant,3386,2025-08-20
AWD0000321,10000404,2025FA,Scholarship,3261,2025-08-20
AWD0000322,10000404,2025SP,Scholarship,3246,2025-01-10
AWD0000323,10000405,2025FA,Scholarship,2788,2025-08-20
AWD0000324,10000406,2025SP,Grant,2107,2025-01-10
AWD0000325,10000409,2025SP,Grant,2663,2025-01-10
AWD0000326,10000410,2025FA,Loan,2411,2025-08-20
AWD0000327,10000412,2025FA,Loan,1269,2025-08-20
AWD0000328,10000413,2025SP,Loan,2117,2025-01-10
AWD0000329,10000414,2025FA,Scholarship,806,2025-08-20
AWD0000330,10000415,2025FA,Scholarship,3201,2025-08-20
AWD0000331,10000416,2025SP,Scholarship,904,2025-01-10
AWD0000332,10000418,2025FA,Loan,3011,2025-08-20
AWD0000333,10000419,2025FA,Loan,563,2025-08-20
AWD0000334,10000419,2025SP,Scholarship,2821,2025-01-10
AWD0000335,10000420,2025FA,Scholarship,874,2025-08-20
AWD0000336,10000421,2025FA,Grant,537,2025-08-20
AWD0000337,10000421,2025SP,Grant,2967,2025-01-10
AWD0000338,10000422,2025FA,Loan,974,2025-08-20
AWD0000339,10000422,2025SP,Loan,2877,2025-01-10
AWD0000340,10000423,2025FA,Grant,1606,2025-08-20
AWD0000341,10000424,2025FA,Loan,2970,2025-08-20
AWD0000342,10000426,2025FA,Loan,1408,2025-08-20
AWD0000343,10000426,2025SP,Loan,1406,2025-01-10
AWD0000344,10000427,2025SP,Loan,1935,2025-01-10
AWD0000345,10000428,2025FA,Grant,3223,2025-08-20
AWD0000346,10000429,2025FA,Scholarship,3161,2025-08-20
AWD0000347,10000430,2025FA,Grant,1394,2025-08-20
AWD0000348,10000431,2025FA,Scholarship,940,2025-08-20
AWD0000349,10000433,2025FA,Loan,1409,2025-08-20
AWD0000350,10000435,2025FA,Scholarship,3393,2025-08-20
AWD0000351,10000437,2025FA,Loan,2858,2025-08-20
AWD0000352,10000438,2025FA,Scholarship,3361,2025-08-20
AWD0000353,10000439,2025FA,Loan,2676,2025-08-20
AWD0000354,10000440,2025FA,Scholarship,2517,2025-08-20
AWD0000355,10000441,2025FA,Scholarship,2763,2025-08-20
AWD0000356,10000445,2025FA,Scholarship,2826,2025-08-20
AWD0000357,10000445,2025SP,Grant,1333,2025-01-10
AWD0000358,10000448,2025FA,Scholarship,1902,2025-08-20
AWD0000359,10000448,2025SP,Scholarship,1984,2025-01-10
AWD0000360,10000449,2025FA,Loan,1664,2025-08-20
AWD0000361,10000450,2025FA,Loan,1118,2025-08-20
AWD0000362,10000452,2025SP,Scholarship,1885,2025-01-10
AWD0000363,10000454,2025SP,Scholarship,3265,2025-01-10
AWD0000364,10000455,2025FA,Loan,1654,2025-08-20
AWD0000365,10000456,2025FA,Scholarship,667,2025-08-20
AWD0000366,10000457,2025SP,Grant,2626,2025-01-10
AWD0000367,10000459,2025FA,Scholarship,1513,2025-08-20
AWD0000368,10000461,2025FA,Scholarship,1738,2025-08-20
AWD0000369,10000463,2025FA,Scholarship,1000,2025-08-20
AWD0000370,10000466,2025FA,Scholarship,2027,2025-08-20
AWD0000371,10000469,2025FA,Scholarship,642,2025-08-20
AWD0000372,10000471,2025FA,Grant,1195,2025-08-20
AWD0000373,10000472,2025FA,Scholarship,512,2025-08-20
AWD0000374,10000473,2025FA,Grant,1690,2025-08-20
AWD0000375,10000474,2025FA,Scholarship,962,2025-08-20
AWD0000376,10000474,2025SP,Scholarship,1334,2025-01-10
AWD0000377,10000475,2025FA,Grant,984,2025-08-20
AWD0000378,10000475,2025SP,Scholarship,2104,2025-01-10
AWD0000379,10000476,2025FA,Grant,870,2025-08-20
AWD0000380,10000476,2025SP,Grant,2957,2025-01-10
AWD0000381,10000478,2025FA,Scholarship,1641,2025-08-20
AWD0000382,10000479,2025FA,Loan,904,2025-08-20
AWD0000383,10000480,2025SP,Scholarship,3392,2025-01-10
AWD0000384,10000481,2025SP,Scholarship,2979,2025-01-10
AWD0000385,10000482,2025FA,Scholarship,2692,2025-08-20
AWD0000386,10000483,2025FA,Grant,1181,2025-08-20
AWD0000387,10000485,2025FA,Loan,2222,2025-08-20
AWD0000388,10000486,2025FA,Loan,1779,2025-08-20
AWD0000389,10000486,2025SP,Scholarship,2835,2025-01-10
AWD0000390,10000487,2025FA,Loan,2076,2025-08-20
AWD0000391,10000488,2025SP,Loan,1336,2025-01-10
AWD0000392,10000489,2025FA,Grant,764,2025-08-20
AWD0000393,10000489,2025SP,Loan,1413,2025-01-10
AWD0000394,10000491,2025FA,Grant,1796,2025-08-20
AWD0000395,10000492,2025FA,Scholarship,757,2025-08-20
AWD0000396,10000493,2025FA,Loan,1505,2025-08-20
AWD0000397,10000495,2025FA,Loan,1101,2025-08-20
AWD0000398,10000496,2025SP,Grant,961,2025-01-10
AWD0000399,10000497,2025FA,Grant,3109,2025-08-20
AWD0000400,10000498,2025SP,Loan,1772,2025-01-10
AWD0000401,10000499,2025SP,Loan,680,2025-01-10
AWD0000402,10000500,2025FA,Scholarship,2067,2025-08-20
AWD0000403,10000501,2025FA,Grant,1306,2025-08-20
AWD0000404,10000502,2025SP,Loan,1230,2025-01-10
AWD0000405,10000504,2025FA,Loan,2706,2025-08-20
AWD0000406,10000505,2025FA,Grant,1392,2025-08-20
AWD0000407,10000506,2025FA,Grant,2779,2025-08-20
AWD0000408,10000507,2025FA,Grant,2210,2025-08-20
AWD0000409,10000508,2025FA,Loan,774,2025-08-20
AWD0000410,10000508,2025SP,Grant,1036,2025-01-10
AWD0000411,10000509,2025FA,Grant,1927,2025-08-20
AWD0000412,10000510,2025SP,Scholarship,1405,2025-01-10
AWD0000413,10000511,2025SP,Scholarship,581,2025-01-10
AWD0000414,10000512,2025FA,Loan,1085,2025-08-20
AWD0000415,10000513,2025FA,Grant,2484,2025-08-20
AWD0000416,10000513,2025SP,Grant,1019,2025-01-10
AWD0000417,10000514,2025SP,Loan,789,2025-01-10
AWD0000418,10000519,2025SP,Scholarship,3038,2025-01-10
AWD0000419,10000520,2025FA,Grant,2060,2025-08-20
AWD0000420,10000522,2025FA,Grant,1811,2025-08-20
AWD0000421,10000524,2025FA,Scholarship,1178,2025-08-20
AWD0000422,10000525,2025FA,Scholarship,928,2025-08-20
AWD0000423,10000526,2025FA,Grant,1679,2025-08-20
AWD0000424,10000528,2025FA,Scholarship,840,2025-08-20
AWD0000425,10000528,2025SP,Scholarship,1604,2025-01-10
AWD0000426,10000530,2025FA,Loan,1925,2025-08-20
AWD0000427,10000531,2025FA,Scholarship,2998,2025-08-20
AWD0000428,10000532,2025FA,Grant,3204,2025-08-20
AWD0000429,10000535,2025FA,Grant,1665,2025-08-20
AWD0000430,10000535,2025SP,Grant,2853,2025-01-10
AWD0000431,10000536,2025FA,Scholarship,3001,2025-08-20
AWD0000432,10000538,2025FA,Grant,1097,2025-08-20
AWD0000433,10000538,2025SP,Grant,3182,2025-01-10
AWD0000434,10000543,2025FA,Loan,2480,2025-08-20
AWD0000435,10000544,2025FA,Grant,717,2025-08-20
AWD0000436,10000544,2025SP,Scholarship,1221,2025-01-10
AWD0000437,10000545,2025FA,Grant,1732,2025-08-20
AWD0000438,10000546,2025FA,Scholarship,1656,2025-08-20
AWD0000439,10000548,2025FA,Grant,2303,2025-08-20
AWD0000440,10000549,2025FA,Grant,861,2025-08-20
AWD0000441,10000549,2025SP,Scholarship,2974,2025-01-10
AWD0000442,10000550,2025FA,Grant,683,2025-08-20
AWD0000443,10000552,2025FA,Grant,2601,2025-08-20
AWD0000444,10000554,2025FA,Loan,2853,2025-08-20
AWD0000445,10000555,2025FA,Grant,2332,2025-08-20
AWD0000446,10000556,2025SP,Loan,527,2025-01-10
AWD0000447,10000557,2025FA,Grant,3146,2025-08-20
AWD0000448,10000558,2025FA,Loan,963,2025-08-20
AWD0000449,10000558,2025SP,Loan,779,2025-01-10
AWD0000450,10000559,2025FA,Grant,2066,2025-08-20
AWD0000451,10000560,2025FA,Grant,2664,2025-08-20
AWD0000452,10000561,2025FA,Grant,1998,2025-08-20
AWD0000453,10000562,2025FA,Grant,2745,2025-08-20
AWD0000454,10000565,2025FA,Grant,2445,2025-08-20
AWD0000455,10000565,2025SP,Grant,3025,2025-01-10
AWD0000456,10000566,2025FA,Scholarship,3403,2025-08-20
AWD0000457,10000566,2025SP,Scholarship,883,2025-01-10
