note_id,student_id,advisor_id,note_dt,category,risk_flag
NOTE0000088,10000181,ADV038,2025-03-12,Career,1
NOTE0000089,10000181,ADV028,2025-02-13,Financial,0
NOTE0000090,10000181,ADV024,2025-09-11,Wellness,1
NOTE0000091,10000186,ADV046,2025-10-06,Career,0
NOTE0000092,10000186,ADV016,2025-03-04,Academic,0
NOTE0000093,10000186,ADV013,2025-10-06,Wellness,1
NOTE0000094,10000187,ADV047,2025-03-05,Wellness,0
NOTE0000095,10000188,ADV020,2025-02-27,Wellness,1
NOTE0000096,10000190,ADV046,2025-03-09,Career,0
NOTE0000097,10000191,ADV043,2025-10-04,Wellness,0
NOTE0000098,10000194,ADV026,2025-10-01,Wellness,0
NOTE0000099,10000199,ADV049,2025-02-24,Academic,1
NOTE0000100,10000200,ADV013,2025-09-28,Academic,0
NOTE0000101,10000201,ADV031,2025-02-07,Career,1
NOTE0000102,10000203,ADV001,2025-02-20,Career,0
NOTE0000103,10000204,ADV009,2025-03-11,Academic,1
NOTE0000104,10000204,ADV005,2025-09-24,Financial,1
NOTE0000105,10000205,ADV040,2025-10-25,Academic,1
NOTE0000106,10000209,ADV032,2025-09-05,Academic,0
NOTE0000107,10000211,ADV012,2025-02-20,Academic,0
NOTE0000108,10000213,ADV008,2025-03-06,Career,0
NOTE0000109,10000214,ADV046,2025-10-13,Career,0
NOTE0000110,10000216,ADV028,2025-02-25,Career,0
NOTE0000111,10000217,ADV017,2025-02-17,Career,0
NOTE0000112,10000218,ADV006,2025-09-15,Career,1
NOTE0000113,10000218,ADV022,2025-09-03,Financial,1
NOTE0000114,10000219,ADV015,2025-03-02,Wellness,0
NOTE0000115,10000224,ADV010,2025-03-15,Career,1
NOTE0000116,10000224,ADV021,2025-02-02,Career,0
NOTE0000117,10000224,ADV016,2025-09-22,Financial,0
NOTE0000118,10000225,ADV049,2025-10-21,Financial,0
NOTE0000119,10000225,ADV044,2025-10-13,Wellness,0
NOTE0000120,10000228,ADV027,2025-03-08,Academic,1
NOTE0000121,10000229,ADV030,2025-10-02,Academic,0
NOTE0000122,10000229,ADV037,2025-09-25,Academic,0
NOTE0000123,10000233,ADV023,2025-02-09,Academic,0
NOTE0000124,10000234,ADV047,2025-10-16,Career,0
NOTE0000125,10000234,ADV022,2025-09-24,Financial,0
NOTE0000126,10000237,ADV047,2025-09-07,Financial,0
NOTE0000127,10000237,ADV014,2025-10-17,Academic,0
NOTE0000128,10000238,ADV033,2025-03-18,Career,1
NOTE0000129,10000240,ADV047,2025-10-05,Financial,1
NOTE0000130,10000240,ADV028,2025-02-04,Wellness,1
NOTE0000131,10000241,ADV037,2025-03-22,Financial,0
NOTE0000132,10000242,ADV006,2025-09-17,Career,0
NOTE0000133,10000246,ADV026,2025-03-17,Wellness,0
NOTE0000134,10000246,ADV020,2025-02-01,Career,0
NOTE0000135,10000248,ADV030,2025-09-28,Academic,1
NOTE0000136,10000249,ADV014,2025-02-18,Academic,1
NOTE0000137,10000255,ADV017,2025-03-10,Career,0
NOTE0000138,10000255,ADV026,2025-03-11,Wellness,1
NOTE0000139,10000262,ADV042,2025-09-10,Wellness,0
NOTE0000140,10000264,ADV032,2025-10-16,Career,0
NOTE0000141,10000265,ADV007,2025-10-13,Career,0
NOTE0000142,10000265,ADV039,2025-09-17,Academic,0
NOTE0000143,10000266,ADV031,2025-09-02,Career,1
NOTE0000144,10000270,ADV025,2025-10-20,Wellness,0
NOTE0000145,10000271,ADV011,2025-10-27,Financial,0
NOTE0000146,10000271,ADV036,2025-03-22,Career,0
NOTE0000147,10000271,ADV008,2025-03-16,Career,0
NOTE0000148,10000272,ADV028,2025-02-12,Financial,0
NOTE0000149,10000273,ADV010,2025-02-06,Career,0
NOTE0000150,10000273,ADV026,2025-03-14,Wellness,0
NOTE0000151,10000276,ADV017,2025-03-22,Wellness,0
NOTE0000152,10000276,ADV008,2025-09-16,Financial,1
NOTE0000153,10000279,ADV004,2025-02-01,Wellness,0
NOTE0000154,10000279,ADV016,2025-02-08,Academic,0
NOTE0000155,10000279,ADV031,2025-09-07,Career,0
NOTE0000156,10000280,ADV007,2025-03-05,Career,0
NOTE0000157,10000280,ADV007,2025-03-24,Academic,1
NOTE0000158,10000280,ADV048,2025-09-02,Wellness,1
NOTE0000159,10000281,ADV030,2025-02-04,Wellness,0
NOTE0000160,10000283,ADV012,2025-03-10,Academic,0
NOTE0000161,10000284,ADV037,2025-02-05,Academic,1
NOTE0000162,10000285,ADV025,2025-02-26,Financial,0
NOTE0000163,10000286,ADV042,2025-10-25,Financial,0
NOTE0000164,10000286,ADV050,2025-03-06,Career,0
NOTE0000165,10000288,ADV019,2025-10-09,Career,0
NOTE0000166,10000289,ADV042,2025-02-03,Academic,1
NOTE0000167,10000291,ADV022,2025-10-23,Career,0
NOTE0000168,10000294,ADV021,2025-02-02,Career,0
NOTE0000169,10000295,ADV035,2025-09-05,Wellness,0
NOTE0000170,10000297,ADV012,2025-02-11,Academic,0
NOTE0000171,10000299,ADV048,2025-09-04,Academic,0
NOTE0000172,10000299,ADV044,2025-10-13,Wellness,1
NOTE0000173,10000302,ADV040,2025-10-13,Career,0
NOTE0000174,10000305,ADV038,2025-03-20,Career,1
NOTE0000175,10000311,ADV015,2025-02-13,Academic,0
NOTE0000176,10000311,ADV038,2025-03-03,Academic,1
NOTE0000177,10000320,ADV018,2025-09-05,Wellness,0
NOTE0000178,10000320,ADV013,2025-03-20,Wellness,1
NOTE0000179,10000321,ADV007,2025-02-19,Financial,0
NOTE0000180,10000323,ADV040,2025-09-16,Career,1
NOTE0000181,10000324,ADV009,2025-09-26,Wellness,0
NOTE0000182,10000325,ADV033,2025-09-12,Academic,1
NOTE0000183,10000325,ADV026,2025-10-28,Academic,1
NOTE0000184,10000328,ADV045,2025-10-27,Wellness,0
NOTE0000185,10000328,ADV007,2025-10-18,Academic,1
NOTE0000186,10000330,ADV003,2025-03-05,Financial,0
NOTE0000187,10000330,ADV003,2025-02-03,Career,0
NOTE0000188,10000331,ADV007,2025-09-26,Career,0
NOTE0000189,10000331,ADV032,2025-10-23,Academic,0
NOTE0000190,10000332,ADV029,2025-02-20,Financial,1
NOTE0000191,10000335,ADV026,2025-03-02,Career,1
NOTE0000192,10000336,ADV030,2025-09-12,Career,1
NOTE0000193,10000338,ADV006,2025-10-23,Wellness,0
NOTE0000194,10000338,ADV036,2025-10-12,Academic,0
NOTE0000195,10000340,ADV031,2025-10-12,Academic,0
NOTE0000196,10000347,ADV028,2025-02-02,Academic,0
NOTE0000197,10000347,ADV025,2025-10-26,Career,0
NOTE0000198,10000348,ADV010,2025-03-13,Financial,0
NOTE0000199,10000355,ADV040,2025-09-21,Academic,0
NOTE0000200,10000356,ADV032,2025-09-24,Academic,0
NOTE0000201,10000360,ADV035,2025-02-04,Wellness,0
NOTE0000202,10000362,ADV002,2025-03-27,Financial,1
NOTE0000203,10000363,ADV021,2025-02-15,Career,0
NOTE0000204,10000363,ADV016,2025-02-13,Financial,0
NOTE0000205,10000365,ADV038,2025-10-22,Academic,1
NOTE0000206,10000368,ADV026,2025-03-15,Financial,1
NOTE0000207,10000373,ADV043,2025-09-05,Financial,1
NOTE0000208,10000374,ADV002,2025-03-21,Financial,0
NOTE0000209,10000375,ADV048,2025-09-01,Career,1
NOTE0000210,10000376,ADV004,2025-03-16,Academic,0
NOTE0000211,10000376,ADV022,2025-03-26,Wellness,0
NOTE0000212,10000377,ADV048,2025-10-27,Career,1
NOTE0000213,10000380,ADV011,2025-09-11,Academic,0
NOTE0000214,10000384,ADV036,2025-03-21,Career,0
NOTE0000215,10000385,ADV023,2025-03-12,Financial,1
NOTE0000216,10000385,ADV003,2025-03-13,Wellness,0
NOTE0000217,10000391,ADV012,2025-02-10,Career,0
NOTE0000218,10000391,ADV009,2025-10-06,Wellness,1
NOTE0000219,10000391,ADV049,2025-02-28,Financial,0
NOTE0000220,10000400,ADV036,2025-03-04,Academic,1
NOTE0000221,10000401,ADV007,2025-03-04,Career,0
NOTE0000222,10000411,ADV033,2025-02-26,Career,0
NOTE0000223,10000414,ADV010,2025-02-18,Wellness,1
NOTE0000224,10000416,ADV005,2025-03-20,Financial,0
NOTE0000225,10000419,ADV027,2025-10-01,Academic,0
NOTE0000226,10000422,ADV006,2025-03-08,Academic,1
NOTE0000227,10000422,ADV050,2025-09-07,Financial,0
NOTE0000228,10000424,ADV042,2025-09-25,Career,0
NOTE0000229,10000424,ADV027,2025-03-13,Wellness,0
NOTE0000230,10000426,ADV036,2025-10-19,Wellness,1
NOTE0000231,10000427,ADV050,2025-10-10,Wellness,0
NOTE0000232,10000427,ADV034,2025-02-23,Career,0
NOTE0000233,10000428,ADV007,2025-10-16,Financial,1
NOTE0000234,10000432,ADV023,2025-02-16,Academic,0
NOTE0000235,10000437,ADV007,2025-10-13,Academic,0
NOTE0000236,10000438,ADV030,2025-03-16,Career,1
NOTE0000237,10000438,ADV009,2025-10-03,Academic,1
NOTE0000238,10000442,ADV026,2025-10-17,Career,0
NOTE0000239,10000447,ADV011,2025-03-07,Career,0
NOTE0000240,10000448,ADV007,2025-03-27,Wellness,0
NOTE0000241,10000451,ADV022,2025-10-23,Wellness,0
NOTE0000242,10000454,ADV045,2025-09-26,Wellness,1
NOTE0000243,10000455,ADV029,2025-02-03,Career,0
NOTE0000244,10000455,ADV046,2025-03-23,Financial,1
NOTE0000245,10000457,ADV020,2025-03-03,Wellness,0
NOTE0000246,10000461,ADV030,2025-03-17,Wellness,0
NOTE0000247,10000461,ADV002,2025-09-11,Wellness,0
NOTE0000248,10000465,ADV017,2025-09-26,Career,1
NOTE0000249,10000470,ADV035,2025-02-11,Wellness,1
NOTE0000250,10000472,ADV035,2025-02-12,Wellness,1
NOTE0000251,10000473,ADV001,2025-09-02,Academic,1
NOTE0000252,10000476,ADV046,2025-02-21,Academic,1
NOTE0000253,10000476,ADV050,2025-03-28,Wellness,1
NOTE0000254,10000476,ADV039,2025-10-09,Academic,0
NOTE0000255,10000477,ADV018,2025-09-01,Academic,1
NOTE0000256,10000478,ADV020,2025-03-02,Academic,0
NOTE0000257,10000479,ADV006,2025-03-02,Wellness,0
NOTE0000258,10000480,ADV045,2025-10-03,Financial,0
NOTE0000259,10000482,ADV036,2025-03-03,Financial,0
NOTE0000260,10000482,ADV048,2025-03-22,Financial,1
NOTE0000261,10000485,ADV029,2025-10-21,Wellness,0
NOTE0000262,10000487,ADV014,2025-10-01,Wellness,1
NOTE0000263,10000491,ADV039,2025-09-04,Wellness,0
NOTE0000264,10000493,ADV031,2025-02-16,Career,0
NOTE0000265,10000497,ADV029,2025-09-23,Academic,0
NOTE0000266,10000500,ADV024,2025-02-18,Wellness,0
NOTE0000267,10000502,ADV049,2025-10-22,Academic,1
NOTE0000268,10000508,ADV002,2025-02-26,Financial,0
NOTE0000269,10000509,ADV002,2025-02-18,Academic,0
NOTE0000270,10000509,ADV038,2025-09-22,Career,0
NOTE0000271,10000511,ADV036,2025-03-05,Career,1
NOTE0000272,10000511,ADV011,2025-10-03,Wellness,0
NOTE0000273,10000512,ADV021,2025-10-03,Career,0
NOTE0000274,10000513,ADV023,2025-02-15,Financial,1
NOTE0000275,10000517,ADV030,2025-09-05,Wellness,0
NOTE0000276,10000519,ADV033,2025-02-13,Financial,0
NOTE0000277,10000521,ADV049,2025-09-05,Academic,0
NOTE0000278,10000522,ADV003,2025-09-02,Career,0
NOTE0000279,10000522,ADV035,2025-02-12,Wellness,0
NOTE0000280,10000523,ADV042,2025-09-19,Academic,1
NOTE0000281,10000525,ADV004,2025-03-21,Financial,1
NOTE0000282,10000525,ADV019,2025-09-01,Wellness,1
NOTE0000283,10000526,ADV030,2025-09-07,Financial,0
NOTE0000284,10000528,ADV031,2025-09-26,Financial,1
NOTE0000285,10000528,ADV023,2025-03-02,Financial,0
NOTE0000286,10000532,ADV034,2025-10-01,Wellness,1
NOTE0000287,10000534,ADV002,2025-02-14,Financial,0
NOTE0000288,10000535,ADV042,2025-02-27,Financial,0
NOTE0000289,10000537,ADV048,2025-02-24,Career,0
NOTE0000290,10000537,ADV021,2025-10-23,Career,1
NOTE0000291,10000540,ADV035,2025-02-13,Financial,1
NOTE0000292,10000540,ADV014,2025-10-28,Financial,0
NOTE0000293,10000545,ADV043,2025-02-16,Career,1
NOTE0000294,10000545,ADV039,2025-10-26,Career,1
NOTE0000295,10000546,ADV008,2025-09-21,Wellness,0
NOTE0000296,10000546,ADV016,2025-03-26,Career,0
NOTE0000297,10000547,ADV018,2025-09-02,Academic,1
NOTE0000298,10000547,ADV046,2025-10-19,Wellness,0
NOTE0000299,10000548,ADV008,2025-10-04,Academic,0
NOTE0000300,10000548,ADV030,2025-03-06,Career,0
NOTE0000301,10000548,ADV010,2025-02-22,Wellness,0
NOTE0000302,10000550,ADV005,2025-09-16,Career,0
NOTE0000303,10000550,ADV010,2025-10-21,Career,1
NOTE0000304,10000555,ADV001,2025-02-15,Wellness,1
NOTE0000305,10000558,ADV034,2025-03-01,Academic,0
NOTE0000306,10000559,ADV043,2025-03-13,Career,0
NOTE0000307,10000559,ADV016,2025-09-27,Academic,0
NOTE0000308,10000560,ADV046,2025-03-18,Wellness,1
NOTE0000309,10000560,ADV023,2025-03-10,Academic,0
NOTE0000310,10000564,ADV038,2025-09-01,Career,0
NOTE0000311,10000565,ADV050,2025-09-23,Career,0
NOTE0000312,10000566,ADV035,2025-10-02,Academic,0
NOTE0000313,10000567,ADV020,2025-09-17,Academic,1
NOTE0000314,10000567,ADV001,2025-10-28,Financial,1
NOTE0000315,10000570,ADV025,2025-09-28,Financial,0
NOTE0000316,10000570,ADV049,2025-02-11,Financial,0
NOTE0000317,10000572,ADV002,2025-10-13,Financial,1
NOTE0000318,10000573,ADV038,2025-02-07,Financial,1
NOTE0000319,10000574,ADV015,2025-09-25,Academic,1
NOTE0000320,10000575,ADV033,2025-02-24,Financial,0
NOTE0000321,10000576,ADV016,2025-10-14,Wellness,0
NOTE0000322,10000576,ADV046,2025-10-15,Wellness,0
NOTE0000323,10000577,ADV046,2025-02-10,Financial,0
NOTE0000324,10000577,ADV040,2025-02-19,Wellness,0
NOTE0000325,10000581,ADV020,2025-10-11,Financial,1
NOTE0000326,10000584,ADV033,2025-03-14,Financial,0
NOTE0000327,10000584,ADV029,2025-09-24,Academic,0
NOTE0000328,10000585,ADV034,2025-03-21,Career,0
NOTE0000329,10000586,ADV021,2025-03-16,Financial,0
NOTE0000330,10000591,ADV010,2025-02-12,Academic,1
NOTE0000331,10000597,ADV007,2025-03-12,Wellness,0
NOTE0000332,10000598,ADV023,2025-10-08,Wellness,1
NOTE0000333,10000599,ADV018,2025-10-23,Financial,0
NOTE0000334,10000601,ADV033,2025-10-28,Career,0
NOTE0000335,10000603,ADV030,2025-02-01,Academic,1
NOTE0000336,10000603,ADV021,2025-09-20,Academic,0
NOTE0000337,10000605,ADV047,2025-09-17,Wellness,0
NOTE0000338,10000606,ADV026,2025-10-21,Career,1
NOTE0000339,10000607,ADV035,2025-03-06,Career,0
NOTE0000340,10000607,ADV006,2025-03-26,Financial,0
NOTE0000341,10000609,ADV036,2025-03-11,Academic,0
NOTE0000342,10000613,ADV038,2025-02-28,Financial,1
NOTE0000343,10000614,ADV032,2025-03-17,Career,0
NOTE0000344,10000618,ADV047,2025-10-24,Financial,0
NOTE0000345,10000619,ADV006,2025-02-14,Financial,0
NOTE0000346,10000619,ADV042,2025-02-28,Academic,0
NOTE0000347,10000621,ADV047,2025-09-15,Financial,0
NOTE0000348,10000635,ADV025,2025-10-08,Academic,0
NOTE0000349,10000635,ADV034,2025-10-16,Financial,0
NOTE0000350,10000637,ADV002,2025-10-04,Wellness,0
NOTE0000351,10000638,ADV037,2025-03-19,Academic,0
NOTE0000352,10000638,ADV047,2025-02-09,Wellness,0
NOTE0000353,10000638,ADV004,2025-03-07,Wellness,0
NOTE0000354,10000640,ADV033,2025-09-17,Financial,1
NOTE0000355,10000641,ADV034,2025-03-09,Academic,1
NOTE0000356,10000642,ADV008,2025-02-26,Wellness,1
NOTE0000357,10000643,ADV037,2025-02-19,Financial,0
NOTE0000358,10000643,ADV042,2025-02-09,Wellness,0
NOTE0000359,10000643,ADV027,2025-03-24,Financial,0
NOTE0000360,10000644,ADV012,2025-02-06,Academic,0
NOTE0000361,10000645,ADV001,2025-03-19,Wellness,0
NOTE0000362,10000646,ADV031,2025-02-17,Academic,0
NOTE0000363,10000648,ADV042,2025-09-17,Academic,1
NOTE0000364,10000649,ADV046,2025-10-03,Academic,1
NOTE0000365,10000649,ADV004,2025-02-24,Career,0
NOTE0000366,10000649,ADV006,2025-02-06,Academic,0
NOTE0000367,10000650,ADV013,2025-09-11,Career,0
NOTE0000368,10000656,ADV019,2025-03-18,Career,1
NOTE0000369,10000657,ADV003,2025-09-20,Career,0
NOTE0000370,10000662,ADV025,2025-02-15,Financial,0
NOTE0000371,10000664,ADV015,2025-02-16,Wellness,0
NOTE0000372,10000670,ADV025,2025-03-04,Wellness,0
NOTE0000373,10000672,ADV032,2025-02-07,Wellness,0
NOTE0000374,10000675,ADV025,2025-03-20,Wellness,1
NOTE0000375,10000675,ADV014,2025-10-04,Wellness,0
NOTE0000376,10000677,ADV039,2025-10-09,Career,0
NOTE0000377,10000680,ADV023,2025-02-19,Academic,1
NOTE0000378,10000681,ADV015,2025-02-02,Financial,0
NOTE0000379,10000685,ADV022,2025-02-16,Wellness,0
NOTE0000380,10000687,ADV033,2025-02-16,Financial,0
NOTE0000381,10000688,ADV015,2025-03-04,Financial,0
NOTE0000382,10000688,ADV050,2025-09-07,Academic,1
NOTE0000383,10000692,ADV018,2025-10-23,Career,0
NOTE0000384,10000693,ADV019,2025-02-02,Career,0
NOTE0000385,10000697,ADV018,2025-10-23,Academic,0
NOTE0000386,10000699,ADV049,2025-02-16,Academic,0
NOTE0000387,10000703,ADV006,2025-02-12,Financial,0
NOTE0000388,10000703,ADV015,2025-03-08,Academic,0
NOTE0000389,10000706,ADV018,2025-10-26,Academic,0
NOTE0000390,10000707,ADV050,2025-03-09,Academic,1
NOTE0000391,10000708,ADV028,2025-02-23,Career,1
NOTE0000392,10000710,ADV037,2025-02-08,Academic,0
NOTE0000393,10000712,ADV007,2025-02-08,Academic,0
NOTE0000394,10000713,ADV014,2025-09-09,Financial,0
NOTE0000395,10000719,ADV037,2025-03-03,Wellness,0
NOTE0000396,10000719,ADV001,2025-10-07,Wellness,0
NOTE0000397,10000721,ADV001,2025-10-21,Wellness,1
NOTE0000398,10000730,ADV004,2025-03-17,Academic,0
NOTE0000399,10000731,ADV017,2025-09-27,Career,0
NOTE0000400,10000735,ADV015,2025-09-09,Financial,1
NOTE0000401,10000735,ADV028,2025-10-13,Wellness,0
NOTE0000402,10000735,ADV001,2025-02-27,Wellness,0
NOTE0000403,10000743,ADV007,2025-09-25,Financial,0
NOTE0000404,10000746,ADV019,2025-09-10,Wellness,0
NOTE0000405,10000746,ADV026,2025-09-19,Wellness,1
NOTE0000406,10000747,ADV046,2025-03-07,Wellness,0
NOTE0000407,10000749,ADV046,2025-03-18,Academic,1
NOTE0000408,10000750,ADV033,2025-10-02,Academic,0
NOTE0000409,10000750,ADV046,2025-02-15,Wellness,0
NOTE0000410,10000753,ADV005,2025-10-05,Financial,0
NOTE0000411,10000757,ADV020,2025-09-09,Career,1
NOTE0000412,10000759,ADV049,2025-10-15,Wellness,0
NOTE0000413,10000760,ADV030,2025-10-13,Career,1
NOTE0000414,10000764,ADV030,2025-02-16,Career,0
NOTE0000415,10000764,ADV025,2025-03-06,Financial,1
NOTE0000416,10000766,ADV040,2025-03-12,Financial,0
NOTE0000417,10000770,ADV022,2025-02-25,Wellness,0
NOTE0000418,10000779,ADV032,2025-10-21,Academic,0
NOTE0000419,10000783,ADV012,2025-09-02,Wellness,1
NOTE0000420,10000783,ADV018,2025-09-26,Academic,1
NOTE0000421,10000784,ADV034,2025-10-27,Financial,0
NOTE0000422,10000791,ADV012,2025-02-08,Financial,0
NOTE0000423,10000791,ADV047,2025-10-14,Financial,0
NOTE0000424,10000795,ADV045,2025-03-04,Career,0
NOTE0000425,10000799,ADV014,2025-02-12,Financial,0
NOTE0000426,10000799,ADV005,2025-10-07,Career,0
NOTE0000427,10000800,ADV026,2025-10-03,Academic,0
NOTE0000428,10000801,ADV033,2025-03-10,Wellness,0
NOTE0000429,10000802,ADV044,2025-02-07,Academic,1
NOTE0000430,10000804,ADV049,2025-09-10,Wellness,0
NOTE0000431,10000804,ADV026,2025-02-15,Financial,0
NOTE0000432,10000807,ADV015,2025-02-19,Academic,0
NOTE0000433,10000808,ADV006,2025-02-28,Wellness,0
NOTE0000434,10000810,ADV014,2025-02-28,Wellness,0
NOTE0000435,10000812,ADV026,2025-02-21,Academic,1
NOTE0000436,10000813,ADV028,2025-03-27,Career,1
NOTE0000437,10000814,ADV032,2025-02-04,Wellness,0
NOTE0000438,10000816,ADV012,2025-03-02,Career,0
NOTE0000439,10000817,ADV014,2025-09-27,Academic,0
NOTE0000440,10000819,ADV047,2025-02-28,Wellness,0
NOTE0000441,10000821,ADV037,2025-09-01,Wellness,0
NOTE0000442,10000821,ADV018,2025-10-09,Career,0
NOTE0000443,10000822,ADV022,2025-09-18,Career,0
NOTE0000444,10000832,ADV029,2025-09-22,Wellness,0
NOTE0000445,10000836,ADV013,2025-09-15,Career,0
NOTE0000446,10000838,ADV027,2025-10-16,Financial,1
NOTE0000447,10000839,ADV037,2025-02-17,Financial,1
NOTE0000448,10000840,ADV023,2025-02-21,Academic,1
NOTE0000449,10000840,ADV049,2025-10-20,Wellness,1
NOTE0000450,10000840,ADV018,2025-03-01,Financial,0
NOTE0000451,10000842,ADV026,2025-03-10,Career,0
NOTE0000452,10000843,ADV038,2025-09-14,Career,0
NOTE0000453,10000844,ADV035,2025-09-23,Academic,0
NOTE0000454,10000846,ADV012,2025-09-26,Career,1
NOTE0000455,10000848,ADV019,2025-03-16,Academic,0
NOTE0000456,10000848,ADV029,2025-02-23,Financial,0
NOTE0000457,10000852,ADV040,2025-09-24,Career,1
NOTE0000458,10000854,ADV041,2025-02-27,Career,0
NOTE0000459,10000855,ADV014,2025-10-27,Financial,0
NOTE0000460,10000855,ADV014,2025-09-23,Financial,0
NOTE0000461,10000856,ADV022,2025-03-27,Financial,0
NOTE0000462,10000858,ADV043,2025-09-10,Career,0
NOTE0000463,10000861,ADV032,2025-02-08,Wellness,1
NOTE0000464,10000861,ADV049,2025-09-20,Wellness,0
NOTE0000465,10000862,ADV004,2025-03-24,Academic,1
